Name,Height,Pos,Team,Weight,cluster
Kyle Korver,197.5,SG,ATL,95.4,4
Kyle Lowry,182.5,PG,TOR,88.2,1
Kyle O'Quinn,205.0,PF,ORL,112.5,2
Kyle Singler,200.0,SF,OKC,102.6,0
Kyrie Irving,187.5,PG,CLE,86.85,1
LaMarcus Aldridge,207.5,PF,POR,117.0,2
Lance Stephenson,192.5,SG,CHA,103.5,4
Landry Fields,197.5,SF,TOR,94.5,4
Langston Galloway,185.0,PG,NYK,90.0,1
Larry Drew II,185.0,PG,PHI,81.0,3
Lavoy Allen,202.5,C,IND,117.0,2
Leandro Barbosa,187.5,SG,GSW,87.3,1
LeBron James,200.0,SF,CLE,112.5,2
Lester Hudson,187.5,SG,LAC,85.5,1
Lorenzo Brown,192.5,PG,MIN,85.05,1
Lou Amundson,202.5,PF,NYK,99.0,0
Lou Williams,182.5,SG,TOR,78.75,3
Luc Mbah a Moute,200.0,PF,PHI,103.5,0
Lucas Nogueira,210.0,C,TOR,108.45,2
Luis Scola,202.5,PF,IND,108.0,0
Luke Babbitt,202.5,SF,NOH,101.25,0
Luke Ridnour,185.0,PG,ORL,78.75,3
Luol Deng,202.5,SF,MIA,99.0,0
Malcolm Thomas,192.5,SG,PHI,90.0,1
Manu Ginobili,195.0,SG,SAS,92.25,4
Marc Gasol,212.5,C,MEM,114.75,2
Marcin Gortat,207.5,C,WAS,108.0,0
Marco Belinelli,192.5,SG,SAS,94.5,4
Marcus Morris,202.5,PF,PHO,105.75,0
Marcus Smart,190.0,PG,BOS,99.0,4
Mario Chalmers,185.0,PG,MIA,85.5,1
Markel Brown,187.5,SG,NJN,85.5,1
Markieff Morris,205.0,PF,PHO,110.25,2
Marreese Speights,205.0,C,GSW,114.75,2
Marvin Williams,202.5,PF,CHA,106.65,0
Mason Plumlee,207.5,C,NJN,110.25,2
Matt Barnes,197.5,SF,LAC,101.7,0
Matt Bonner,205.0,PF,SAS,105.75,0
Matthew Dellavedova,190.0,SG,CLE,89.1,1
Maurice Harkless,202.5,SF,ORL,96.75,4
Meyers Leonard,212.5,C,POR,110.25,2
Michael Beasley,202.5,SF,MIA,105.75,0
Michael Carter-Williams,195.0,PG,PHI,85.5,1
Michael Kidd-Gilchrist,197.5,SF,CHA,104.4,0
Mike Conley,182.5,PG,MEM,78.75,3
Mike Dunleavy,202.5,SF,CHI,103.5,0
Mike Miller,200.0,SF,CLE,98.1,4
Mike Muscala,207.5,PF,ATL,108.0,0
Mike Scott,200.0,PF,ATL,106.65,0
Miles Plumlee,207.5,C,PHO,112.05,2
Mitch McGary,205.0,PF,OKC,114.75,2
Mo Williams,182.5,PG,CHA,89.1,1
